AF532578.1	11
AY163756.1	11
AY598970.1	11
AY803294.1	14
FJ597732.1	55
FJ643676.1	55
FJ822614.1	14
JN032132.1	14
JQ824845.1	14
JX123027.1	55
JX123028.1	55
JX123029.1	55
JX423384.1	55
JX423385.1	55
JX491639.1	55
JX892927.2	14
KC857701.1	55
KF268121.1	11
KF268328.1	77
KF906413.1	79
KF908851.1	55
KJ883520.1	55
KJ883521.1	55
KJ883522.1	55
KP279748.1	55
KP896478.1	55
KP896482.1	14
KP896483.1	55
KP896484.1	55
KT970440.1	78
KT970441.1	78
KT970442.1	78
KX289874.1	55
KX494979.1	55
KY002683.1	55
KY002684.1	55
KY002685.1	55
KY021426.1	14
KY021427.1	14
KY021428.1	14
KY021429.1	14
KY021430.1	14
KY021431.1	14
KY021432.1	14
KY070248.1	55
KY471318.1	55
KY471319.1	55
KY471320.1	55
KY471321.1	55
KY471322.1	55
KY471323.1	55
KY780931.1	55
KY780932.1	55
KY780933.1	55
LC177352.1	79
MF062484.1	14
MG642742.1	14
MG642743.1	14
MG642744.1	14
MG642745.1	14
MG642746.1	14
MG642747.1	14
MG642748.1	14
MG642749.1	14
MG642750.1	14
MG642751.1	14
MG642752.1	14
MG642753.1	14
MG642754.1	14
MG642755.1	14
MG642756.1	14
MG905099.1	14
MG905100.1	14
MG905101.1	14
MG905102.1	14
MG905103.1	14
MG905104.1	14
MG905105.1	14
MG905106.1	14
MG905107.1	14
MG905108.1	14
MG905109.1	14
MG905110.1	55
MG905111.1	14
MG905112.1	14
MH256653.1	55
MH256654.1	55
MH256655.1	55
MH256656.1	55
MH256657.1	55
MH546113.1	14
MH546114.1	14
MH668280.1	14
MH668281.1	14
MH669070.1	14
MH669071.1	14
MH669072.1	14
MH669073.1	14
MK123978.1	55
MK123979.1	55
MK123980.1	55
MK123981.1	55
MK883606.1	55
MK886831.1	55
MN052861.1	55
MN654375.1	55
MN654376.1	55
MN654377.1	55
MN654378.1	55
MN654379.1	55
MN654380.1	55
MN654381.1	55
MN654382.1	55
MN654383.1	55
MN654384.1	55
MN654385.1	55
MN654386.1	55
MN654387.1	55
MN654388.1	55
MN654389.1	55
MN654390.1	55
MN654391.1	55
MN654392.1	55
MN654393.1	55
MN654394.1	55
MN654395.1	55
MT325868.1	55
MT325869.1	55
MT325870.1	55
MT325871.1	55
MT325872.1	55
MT513753.1	55
MT806170.1	55
MT806171.1	55
MT806172.1	55
MT806173.1	55
MT806174.1	55
MT806175.1	55
MW053454.1	55
NC_011202.1	11
