accver	start	stop	strand	species	region
# A
NC_001460.1	1	34125	1	A	gen
NC_001460.1	4953	8513	2	A	pol
NC_001460.1	13394	14887	1	A	pen
NC_001460.1	17740	20499	1	A	hex
NC_001460.1	29368	31131	1	A	fib
# B
NC_011203.1	1	35343	1	B	gen
NC_011203.1	5051	8623	2	B	pol
NC_011203.1	13905	15539	1	B	pen
NC_011203.1	18418	21252	1	B	hex
NC_011203.1	31368	32327	1	B	fib
# C
NC_001405.1	1	35937	1	C	gen
NC_001405.1	5187	8774	2	C	pol
NC_001405.1	14151	15866	1	C	pen
NC_001405.1	18838	21744	1	C	hex
NC_001405.1	31030	32778	1	C	fib
# D
NC_010956.1	1	35083	1	D	gen
NC_010956.1	5002	8523	2	D	pol
NC_010956.1	13516	15075	1	D	pen
NC_010956.1	17790	20621	1	D	hex
NC_010956.1	30914	32002	1	D	fib
# E
NC_003266.2	1	35994	1	E	gen
NC_003266.2	5033	8605	2	E	pol
NC_003266.2	13815	15422	1	E	pen
NC_003266.2	18248	21058	1	E	hex
NC_003266.2	31649	32926	1	E	fib
# F
NC_001454.1	1	34214	1	F	gen
NC_001454.1	4750	8307	2	F	pol
NC_001454.1	13241	14755	1	F	pen
NC_001454.1	17643	20414	1	F	hex
NC_001454.1	28751	29914	1	F	fib
# G
NC_006879.1	1	34450	1	G	gen
NC_006879.1	4702	8247	2	G	pol
NC_006879.1	13129	14640	1	G	pen
NC_006879.1	17513	20308	1	G	hex
NC_006879.1	28731	29822	1	G	fib1
NC_006879.1	29855	31537	1	G	fib2
